"Esd";"GKY_S";"GKX_S"
1249;585039;167735
1250;588102;167016
1251;598283;166663
1252;597540;167820
1253;596459;165328
1254;590770;162558
1255;592462;163782
1256;594331;163937
1257;593780;164546
1258;595797;164985
1259;594111;164773
1260;556846;158871
1261;556073;159826
1262;558101;160875
1263;559929;155347
1264;556581;158555
1265;557688;158095
1266;556668;154743
1267;550519;158154
1268;559622;155393
1269;556640;155412
1270;556995;156512
1271;558400;157024
1272;557473;157039
1273;557462;157013
1274;555517;156944
1275;475452;87843
1276;412658;48224
1277;475043;124406
1278;399634;50045
1279;411366;50077
1280;411133;50047
1281;508625;90817
1282;411226;48181
1283;411633;47244
1284;411648;46802
1285;413111;46160
1286;412810;45954
1287;412640;49197
1288;412051;44933
1289;412459;45566
1290;412725;46302
1291;412062;45419
1292;537767;116077
1293;410793;45424
1294;410613;45357
1295;467664;123117
1296;470400;120465
1297;412155;42440
1298;409218;47006
1299;408983;47019
1300;467546;123447
1301;481874;119460
1302;404323;46728
1303;399958;50625
1304;411598;48250
1305;413179;40755
1306;508419;91041
1307;411472;48169
1308;412668;40754
1309;413794;40126
1310;414405;39223
1311;412588;40481
1312;415584;35657
1313;414169;35582
1314;413788;35558
1315;537221;116170
1316;414697;36053
1317;412802;45797
1318;412228;42419
1319;411885;42465
1320;413035;45863
1321;411386;50074
1322;412050;46812
1323;412283;49247
1324;411207;48179
1325;409454;46999
1326;411308;48147
1327;538156;88114
1328;412350;46070
1329;411385;50114
1330;401521;48876
1331;402574;48189
1332;401014;49289
1333;401152;50215
1334;403695;45238
1335;405801;39234
1336;407080;38190
1337;407706;39574
1338;556875;134321
1339;557714;134828
1340;410501;48751
1341;487556;133324
1342;523784;96181
1343;438938;127579
1344;412932;44629
1345;504045;112969
1346;414662;44196
1347;413627;43457
1348;414852;43520
1349;416326;44421
1350;404382;45582
1351;546969;83368
1352;507151;92136
1353;414930;43898
1354;413856;44248
1355;415394;41203
1356;413903;42402
1357;414034;41211
1358;414681;41098
1359;415302;40651
1360;508961;90740
1361;414484;40381
1362;415076;41808
1363;404832;41235
1364;408875;43985
1365;461862;100268
1366;407190;45845
1367;409338;44126
1368;408522;46124
1369;407285;44224
1370;411459;40804
1371;405249;40304
1372;404949;40296
1373;401815;42284
1374;500736;113680
1375;416128;36512
1376;415473;37918
